id,coin,date,open,close,high,low,volume,market_cap
1,bitcoin,28/04/2013,135.3,134.21,135.98,132.1,0,1500520000
2,bitcoin,29/04/2013,134.44,144.54,147.49,134,0,1491160000
3,bitcoin,30/04/2013,144,139,146.93,134.05,0,1597780000
4,bitcoin,01/05/2013,139,116.99,139.89,107.72,0,1542820000
5,bitcoin,02/05/2013,116.38,105.21,125.6,92.28,0,1292190000
6,bitcoin,03/05/2013,106.25,97.75,108.13,79.1,0,1180070000
7,bitcoin,04/05/2013,98.1,112.5,115,92.5,0,1089890000
8,bitcoin,05/05/2013,112.9,115.91,118.8,107.14,0,1254760000
9,bitcoin,06/05/2013,115.98,112.3,124.66,106.64,0,1289470000
10,bitcoin,07/05/2013,112.25,111.5,113.44,97.7,0,1248470000
11,bitcoin,08/05/2013,109.6,113.57,115.78,109.6,0,1219450000
12,bitcoin,09/05/2013,113.2,112.67,113.46,109.26,0,1259980000
13,bitcoin,10/05/2013,112.8,117.2,122,111.55,0,1255970000
14,bitcoin,11/05/2013,117.7,115.24,118.68,113.01,0,1311050000
15,bitcoin,12/05/2013,115.64,115,117.45,113.44,0,1288630000
16,bitcoin,13/05/2013,114.82,117.98,118.7,114.5,0,1279980000
17,bitcoin,14/05/2013,117.98,111.5,119.8,110.25,0,1315720000
18,bitcoin,15/05/2013,111.4,114.22,115.81,103.5,0,1242760000
19,bitcoin,16/05/2013,114.22,118.76,118.76,112.2,0,1274620000
20,bitcoin,17/05/2013,118.21,123.02,125.3,116.57,0,1319590000
21,bitcoin,18/05/2013,123.5,123.5,125.25,122.3,0,1379140000
22,bitcoin,19/05/2013,123.21,121.99,124.5,119.57,0,1376370000
23,bitcoin,20/05/2013,122.5,122,123.62,120.12,0,1368910000
24,bitcoin,21/05/2013,122.02,122.88,123,121.21,0,1363940000
25,bitcoin,22/05/2013,122.89,123.89,124,122,0,1374130000
26,bitcoin,23/05/2013,123.8,126.7,126.93,123.1,0,1384780000
27,bitcoin,24/05/2013,126.3,133.2,133.85,125.72,0,1413300000
28,bitcoin,25/05/2013,133.1,131.98,133.22,128.9,0,1489950000
29,bitcoin,26/05/2013,131.99,133.48,136,130.62,0,1478030000
30,bitcoin,27/05/2013,133.5,129.75,135.47,124.7,0,1495520000
31,bitcoin,28/05/2013,129.77,129,130.58,125.6,0,1454310000
32,bitcoin,29/05/2013,129,132.3,132.59,127.66,0,1446190000
33,bitcoin,30/05/2013,132.25,128.8,132.25,127,0,1483180000
34,bitcoin,31/05/2013,128.8,129,129.9,126.4,0,1445050000
35,bitcoin,01/06/2013,128.81,129.3,129.78,127.2,0,1445800000
36,bitcoin,02/06/2013,129.3,122.29,129.4,115.05,0,1451930000
37,bitcoin,03/06/2013,122.5,122.22,122.5,116,0,1376180000
38,bitcoin,04/06/2013,120.74,121.42,123.84,119.1,0,1357020000
39,bitcoin,05/06/2013,121.4,121.65,123.47,119.9,0,1365110000
40,bitcoin,06/06/2013,121.9,118,123.1,117.25,0,1371300000
41,bitcoin,07/06/2013,118.97,111.5,119,106.42,0,1338880000
42,bitcoin,08/06/2013,111,108.3,111.42,107.3,0,1249630000
43,bitcoin,09/06/2013,107.89,100,108.99,88.5,0,1215130000
44,bitcoin,10/06/2013,100.44,106.35,110.1,95,0,1131570000
45,bitcoin,11/06/2013,106.35,108.9,109.6,104,0,1198640000
46,bitcoin,12/06/2013,109,108.15,111.79,106.73,0,1229000000
47,bitcoin,13/06/2013,108.78,104,110.3,100.53,0,1227030000
48,bitcoin,14/06/2013,103.95,99.98,104.7,98,0,1173060000
49,bitcoin,15/06/2013,100,99.99,103.7,98,0,1128950000
50,bitcoin,16/06/2013,99.8,99.51,101.6,98.95,0,1127120000
51,bitcoin,17/06/2013,99.9,101.7,102.21,99,0,1128720000
52,bitcoin,18/06/2013,101.95,107.4,111.11,101.03,0,1152250000
53,bitcoin,19/06/2013,107.05,108.25,110.22,105.75,0,1210260000
54,bitcoin,20/06/2013,108.25,110.15,114.3,107.5,0,1224210000
55,bitcoin,21/06/2013,111.29,109.5,114.99,107.69,0,1259000000
56,bitcoin,22/06/2013,109.5,108.3,109.96,107.51,0,1239210000
57,bitcoin,23/06/2013,108.2,107.6,108.8,106.23,0,1224980000
58,bitcoin,24/06/2013,107.9,102.74,108.33,100.98,0,1222030000
59,bitcoin,25/06/2013,102.09,103.95,106.47,101.01,0,1156610000
60,bitcoin,26/06/2013,103.33,104,105.49,102.79,0,1171050000
61,bitcoin,27/06/2013,104,101.44,104,101.1,0,1179110000
