date,coin,open,market_cap,volume
01/11/2017,dash,278.5,2131960000,50960300
02/11/2017,dash,271.79,2081130000,72437900
03/11/2017,dash,263.89,2021200000,62984900
04/11/2017,dash,278.58,2135920000,49462600
05/11/2017,dash,274.33,2103900000,41028900
06/11/2017,dash,273.47,2097820000,60053700
07/11/2017,dash,274.87,2109120000,92431200
08/11/2017,dash,293.04,2249050000,103556000
09/11/2017,dash,315.48,2421910000,110840000
10/11/2017,dash,325.27,2497710000,116352000
11/11/2017,dash,331.43,2545670000,88651000
12/11/2017,dash,345.68,2655840000,476198000
13/11/2017,dash,507.05,3896620000,310886000
14/11/2017,dash,428.31,3292370000,123854000
15/11/2017,dash,428.08,3291450000,103157000
16/11/2017,dash,424.51,3264810000,97321300
17/11/2017,dash,420.59,3235510000,95099300
18/11/2017,dash,424.35,3265280000,145255000
19/11/2017,dash,455.36,3504790000,82954600
20/11/2017,dash,442.03,3403030000,104701000
21/11/2017,dash,500.24,3852180000,245163000
22/11/2017,dash,494.76,3810980000,381958000
23/11/2017,dash,577.25,4447480000,173698000
24/11/2017,dash,564.34,4349120000,129105000
25/11/2017,dash,566.96,4370400000,242807000
26/11/2017,dash,641.46,4945950000,145500000
27/11/2017,dash,621.15,4790590000,134862000
28/11/2017,dash,632.44,4878960000,149795000
29/11/2017,dash,626.26,4832510000,415879000
30/11/2017,dash,681.13,5257210000,498872000
01/12/2017,dash,787.47,6079550000,286044000
02/12/2017,dash,797.9,6161690000,188147000
03/12/2017,dash,778.78,6015560000,192447000
04/12/2017,dash,770.57,5957860000,152281000
05/12/2017,dash,774.71,5991370000,201103000
06/12/2017,dash,756.01,5848270000,249073000
07/12/2017,dash,699.99,5416260000,249305000
08/12/2017,dash,700.68,5423040000,288291000
09/12/2017,dash,727.64,5633100000,211738000
10/12/2017,dash,723.23,5600430000,190183000
11/12/2017,dash,688.55,5333190000,184131000
12/12/2017,dash,765.96,5934340000,370539000
13/12/2017,dash,925.02,7168440000,268426000
14/12/2017,dash,884.21,6853970000,259303000
15/12/2017,dash,943.32,7313960000,191527000
16/12/2017,dash,901.22,6989350000,195788000
17/12/2017,dash,1014.51,7869960000,460594000
18/12/2017,dash,1110.16,8614190000,278638000
19/12/2017,dash,1165.03,9042190000,302869000
20/12/2017,dash,1184.92,9198860000,816872000
21/12/2017,dash,1555.59,12079600000,476900000
22/12/2017,dash,1441.9,11199600000,510588000
23/12/2017,dash,1198.74,9313260000,327129000
