date,zcash,bitcoin,augur,bitcoin-cash,dash,decred,digixdao,eos,ethereum,ethereum-classic,gas,litecoin,monero,neo,populous,qtum
26/09/2017,230.7,3928.41,18.8,445.36,345.08,34.96,71.32,0.570981,292.35,10.87,25.99,51.69,93.81,26.12,2.58,9.38
27/09/2017,231.26,3892.94,18.79,441.86,338.69,33.74,70.62,0.560208,287.02,11.23,25.39,51.58,92.75,26.32,2.73,9.37
28/09/2017,285.65,4197.13,20.96,456.71,345.97,36.2,75.28,0.63294,306.47,12.63,26.37,56.21,100.97,31.78,2.45,9.95
29/09/2017,311.49,4171.62,22.2,447.66,337.93,34.65,78.12,0.816964,299.12,12.77,22.88,54.11,97.3,30.25,2.46,9.96
30/09/2017,289.96,4166.11,20.72,436.64,327.34,34.2,78.73,0.718682,291.48,12.51,22.05,52.63,94.44,28.59,2.3,9.77
01/10/2017,277.35,4341.05,21.22,433.38,326.94,34.49,79.91,0.721765,301.55,12.98,30.97,55.14,95.59,34.12,2.33,11.59
02/10/2017,264.51,4395.81,20.66,415.87,315.95,33.1,79.04,0.707986,302.48,12.74,30.2,54.55,93.56,35.7,2.44,12.36
03/10/2017,258.16,4408.46,19.37,421.79,308.56,34.11,76.94,0.652812,297.48,12.47,31.68,53.39,91.52,36.65,2.48,11.91
04/10/2017,253,4319.37,19.47,404.2,296.74,31.58,72.1,0.631988,292.75,12.38,27.45,52.28,92.95,33.79,2.38,12.16
05/10/2017,237.64,4229.88,19.01,358.42,305.39,30.84,69.25,0.599336,292.77,11.97,29,51.4,90.49,31.21,2.35,11.6
06/10/2017,254.85,4324.46,19.01,355.44,305.25,30.34,68.85,0.606706,295.15,11.94,29.43,51.64,91.91,32.5,2.83,11.87
07/10/2017,257.25,4369.35,19.66,363.6,307.54,30.68,71.27,0.599816,308.89,12.32,27.93,52.14,90.94,33.54,2.74,11.67
08/10/2017,253.52,4429.67,20.1,360.09,310.25,29.81,77.48,0.587396,311.06,12.28,28.03,52.49,91.39,35.64,2.47,11.96
09/10/2017,241.46,4614.52,19.11,342.76,299.7,27.4,73.55,0.603543,308.67,12.12,23.5,53.08,89.74,32.04,2.57,11.14
10/10/2017,229.71,4776.21,17.8,313.22,283.55,26.46,70.73,0.557554,297.6,11.49,22.78,50.15,85.61,29.15,2.71,12.04
11/10/2017,235.32,4789.25,18.82,320.2,291.41,27.83,66.8,0.556461,301.18,11.55,23.26,50.75,86.74,29.3,3.1,12.04
12/10/2017,236.44,4829.58,18.62,315.47,298.12,27.71,73.47,0.610294,303.5,11.51,22.93,50.89,87.56,30.01,3.13,12.13
13/10/2017,227.05,5464.16,18.25,314.15,292.39,28.74,67.79,0.591619,304.08,12,20.93,60.55,87.23,27.85,3.14,11.3
14/10/2017,240.05,5643.53,18.39,321.54,310.23,27.6,73.83,0.584829,338.85,12.2,24.32,59.41,95.06,29.32,3.12,11.26
15/10/2017,240.66,5835.96,19.07,322.42,317.01,28.27,71.37,0.58344,339.53,12.24,22.89,64.13,99.94,27.65,3.12,10.64
16/10/2017,231.96,5687.57,18.72,315.26,309.46,27.73,66,0.571853,336.71,11.95,22.07,65.72,94.99,27.76,3.36,10.46
17/10/2017,233.11,5741.58,19.08,313.7,302.28,27.23,71.13,0.562389,333.48,11.9,21.93,64.67,95.93,28.5,3.24,11.48
