,date,price,positive,negetive
0,10/02/2018,8319.876566,10,10
1,11/02/2018,8343.455,11,7
2,12/02/2018,8811.343333,18,3
3,13/02/2018,8597.7675,9,6
4,14/02/2018,9334.633333,16,9
5,15/02/2018,9977.154,16,4
6,16/02/2018,10127.16167,14,4
7,17/02/2018,10841.99167,11,2
8,18/02/2018,10503.29833,10,6
9,19/02/2018,11110.965,20,5
10,20/02/2018,11390.39167,14,24
11,21/02/2018,10532.79167,14,9
12,22/02/2018,9931.071667,17,15
13,23/02/2018,10162.11667,7,7
14,24/02/2018,9697.956,10,1
15,25/02/2018,9696.593333,21,8
16,26/02/2018,10348.60333,13,4
17,27/02/2018,10763.88333,9,9
18,28/02/2018,10370.165,8,7
19,01/03/2018,11009.38167,17,4
20,02/03/2018,11055.815,9,9
21,03/03/2018,11326.94833,20,6
22,04/03/2018,11430.18167,5,5
23,05/03/2018,11595.54,11,7
24,06/03/2018,10763.19833,28,12
25,07/03/2018,10118.058,13,4
26,08/03/2018,9429.111667,22,7
27,09/03/2018,9089.278333,11,3
