Date,Price,Positive,Negetive,Total
09/01/2018,14714.25333,8,3,11
10/01/2018,15126.39833,2,10,12
11/01/2018,13296.794,11,11,22
12/01/2018,13912.882,25,8,33
13/01/2018,14499.77333,3,8,11
14/01/2018,13852.92,5,6,11
15/01/2018,14012.196,3,9,12
16/01/2018,11180.99833,23,23,46
17/01/2018,11116.94667,14,1,15
18/01/2018,11345.42333,13,11,24
19/01/2018,11422.44,7,13,20
20/01/2018,12950.79333,6,9,15
21/01/2018,11505.228,4,10,14
22/01/2018,10544.59333,7,1,8
23/01/2018,11223.064,4,16,20
24/01/2018,11282.25833,4,12,16
25/01/2018,11214.44,10,7,17
26/01/2018,10969.815,15,10,25
27/01/2018,11524.77667,13,3,16
28/01/2018,11765.71,12,4,16
29/01/2018,11212.655,20,5,25
30/01/2018,10184.06167,3,17,20
31/01/2018,10125.01333,2,30,32
01/02/2018,9083.258333,8,2,10
02/02/2018,8901.901667,8,8,16
03/02/2018,9076.678333,11,7,18
04/02/2018,8400.648333,13,8,21
05/02/2018,6838.816667,10,2,12
06/02/2018,7685.633333,5,13,18
07/02/2018,8099.958333,7,10,17
08/02/2018,8240.536667,6,11,17
09/02/2018,8535.516667,8,2,10
10/02/2018,8319.876566,6,4,10
11/02/2018,8343.455,9,6,15
12/02/2018,8811.343333,16,1,17
13/02/2018,8597.7675,12,7,19
14/02/2018,9334.633333,9,10,19
15/02/2018,9977.154,20,4,24
16/02/2018,10127.16167,10,3,13
17/02/2018,10841.99167,4,2,6
18/02/2018,10503.29833,11,7,18
19/02/2018,11110.965,21,2,23
20/02/2018,11390.39167,18,24,42
21/02/2018,10532.79167,14,9,23
22/02/2018,9931.071667,24,15,39
23/02/2018,10162.11667,7,7,14
24/02/2018,9697.956,14,0,14
25/02/2018,9696.593333,19,9,28
26/02/2018,10348.60333,12,4,16
27/02/2018,10763.88333,8,17,25
28/02/2018,10370.165,9,5,14
01/03/2018,11009.38167,17,12,29
02/03/2018,11055.815,6,14,20
03/03/2018,11326.94833,19,6,25
04/03/2018,11430.18167,4,9,13
05/03/2018,11595.54,11,6,17
06/03/2018,10763.19833,18,28,46
07/03/2018,10118.058,13,13,26
08/03/2018,9429.111667,8,17,25
09/03/2018,9089.278333,17,3,20
10/03/2018,8746.002,5,3,8
11/03/2018,9761.396667,6,8,14
12/03/2018,9182.843333,17,7,24
13/03/2018,9154.7,10,13,23
14/03/2018,8151.531667,17,3,20
15/03/2018,8358.121667,8,7,15
16/03/2018,8530.402,5,14,19
17/03/2018,7993.674644,12,5,17
18/03/2018,8171.415,11,8,19
19/03/2018,8412.033333,12,9,21
20/03/2018,8986.948333,13,4,17
21/03/2018,8947.753333,26,5,31
22/03/2018,8690.408333,9,11,20
23/03/2018,8686.826667,16,5,21
24/03/2018,8662.378333,17,0,17
25/03/2018,8617.296667,18,1,19
26/03/2018,8197.548333,8,7,15
27/03/2018,7876.195,13,6,19
28/03/2018,7960.38,7,13,20
29/03/2018,7172.28,17,6,23
30/03/2018,6882.531667,7,9,16
31/03/2018,6935.48,20,14,34
01/04/2018,6794.105,8,1,9
02/04/2018,7035.848333,9,8,17
03/04/2018,7410.435,19,3,22
04/04/2018,6787.761667,10,18,28
05/04/2018,6826.51,8,6,14
06/04/2018,6603.876667,18,5,23
07/04/2018,6927.688,5,9,14
08/04/2018,7017.656667,21,4,25
09/04/2018,6699.273333,15,5,20
10/04/2018,6787.571667,11,7,18
11/04/2018,6926.266667,13,7,20
12/04/2018,7847.845,14,11,25
13/04/2018,7895.408333,27,10,37
14/04/2018,8036.511051,15,8,23
15/04/2018,8340.748333,12,9,21
16/04/2018,8043.803333,22,22,44
17/04/2018,7895.416926,12,17,29
18/04/2018,8164.937426,21,6,27
19/04/2018,8254.625,10,2,12
20/04/2018,8852.718333,11,5,16
21/04/2018,8807.205,13,6,19
22/04/2018,8838.548333,20,8,28
23/04/2018,8933.861667,1,9,10
24/04/2018,9555.542,19,5,24
25/04/2018,8995.506667,22,17,39
26/04/2018,9258.398333,18,8,26
27/04/2018,9010.32,21,6,27
28/04/2018,9326.173333,9,8,17
29/04/2018,9334.281667,13,6,19
30/04/2018,9259.57,16,6,22
01/05/2018,9075.136667,21,12,33
02/05/2018,9221.426,22,2,24
03/05/2018,9639.268333,9,14,23
04/05/2018,9710.73,9,10,19
05/05/2018,9803.306667,6,21,27
06/05/2018,9630.136277,7,3,10
07/05/2018,9345.69,9,13,22
08/05/2018,9228.608333,4,2,6
09/05/2018,9322.041667,10,7,17
10/05/2018,9101.483333,7,1,8
11/05/2018,8468.788,10,3,13
12/05/2018,8484.346667,8,5,13
13/05/2018,8727.651667,11,7,18
14/05/2018,8652.038333,9,11,20
15/05/2018,8511.458,3,6,9
16/05/2018,8340.703333,14,1,15
17/05/2018,8106.118333,11,7,18
18/05/2018,8240.055,13,1,14
19/05/2018,8223.288333,22,7,29
20/05/2018,8507.406667,7,0,7
21/05/2018,8385.556187,9,2,11
22/05/2018,8015.58,2,5,7
23/05/2018,7555.74,8,2,10
24/05/2018,7566.193333,19,5,24
25/05/2018,7445.238333,14,1,15
26/05/2018,7342.908333,12,7,19
27/05/2018,7361.831667,5,1,6
28/05/2018,7130.541667,6,12,18
29/05/2018,7459.876667,5,5,10
30/05/2018,7385.395,3,11,14
31/05/2018,7491.434,9,11,20
01/06/2018,7535.146667,8,5,13
02/06/2018,7645.146667,3,14,17
03/06/2018,7699.886,9,1,10
04/06/2018,7500.273333,18,1,19
05/06/2018,7615.722142,11,7,18
06/06/2018,7655.613333,11,17,28
07/06/2018,7676.271667,12,5,17
08/06/2018,7620.153333,11,12,23
09/06/2018,7564.408333,4,11,15
10/06/2018,6776.888333,5,1,6
11/06/2018,6875.678333,7,11,18
12/06/2018,6535.081667,1,8,9
13/06/2018,6315.7,7,17,24
14/06/2018,6647.013333,3,3,6
15/06/2018,6434.088,11,7,18
16/06/2018,6509.426667,1,11,12
17/06/2018,6464.411667,9,2,11
18/06/2018,6713.488,18,1,19
19/06/2018,6737,10,11,21
20/06/2018,6714.718333,2,3,5
21/06/2018,6733.901667,3,7,10
22/06/2018,6332.573333,7,6,13
23/06/2018,6141.605833,2,2,4
24/06/2018,6037.008333,10,1,11
25/06/2018,6211.4475,8,8,16
26/06/2018,6218.595,7,5,12
27/06/2018,6105.295,11,7,18
28/06/2018,6107.896154,17,13,30
